date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:58	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Mar%202022%2018:16:58%20GMT	https://www.sparkalts.com/robots.txt		(from )
18:16:58	1991/1991	---M--	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2018:16:58%20GMT	https://www.sparkalts.com/	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/index.html	(from )
18:16:59	4328/4328	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Mar%202022%2018:16:59%20GMT	https://www.sparkalts.com/style.css	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/style.css	(from https://www.sparkalts.com/)
18:16:59	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://www.sparkalts.com/)
18:17:00	4014/4014	---M--	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2018:17:00%20GMT	https://www.sparkalts.com/services.html	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/services.html	(from https://www.sparkalts.com/)
18:17:01	6120/6120	---M--	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2018:17:01%20GMT	https://www.sparkalts.com/store.html	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/store.html	(from https://www.sparkalts.com/)
18:17:02	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Mar%202022%2018:17:02%20GMT	https://www.sparkalts.com/generator.html	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/generator.5.delayed	(from https://www.sparkalts.com/)
18:17:03	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Mar%202022%2018:17:03%20GMT	https://www.sparkalts.com/banner.jpg	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/banner.6.delayed	(from https://www.sparkalts.com/style.css)
18:17:03	14912368/14912368	---M--	200	added ('OK')	video/mp4	date:Sat,%2019%20Mar%202022%2018:17:02%20GMT	https://www.sparkalts.com/MINECRAFT%20LANDSCAPE%20-%20EPIC%20SHADERS.mp4	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/MINECRAFT%20LANDSCAPE%20-%20EPIC%20SHADERS.mp4	(from https://www.sparkalts.com/)
18:17:04	871/871	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Mar%202022%2018:17:04%20GMT	https://www.sparkalts.com/styless.css	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/styless.css	(from https://www.sparkalts.com/services.html)
18:17:04	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://www.sparkalts.com/services.html)
18:17:05	4940/4940	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Mar%202022%2018:17:05%20GMT	https://www.sparkalts.com/styles.css	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/styles.css	(from https://www.sparkalts.com/store.html)
18:17:06	1991/1991	---M--	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2018:17:06%20GMT	https://www.sparkalts.com/index.html	C:/Users/Alexl/OneDrive/Desktop/sparkalts.com/www.sparkalts.com/index-2.html	(from https://www.sparkalts.com/store.html)
